pXC50,MW,Sv,SCBO,Sp,nSK,nBO,nBM,nBT,Se,nAT,Si,nC,AMW,C.,H.,Me,Mi,Mp,Mv,N.,nAB,nB,nBR,nCL,nCsp,nCsp2
5.1,374.46,28.82,38.0,29.818,26,27,16,45,44.978,44,49.657,17,8.51,38.6,40.9,1.022,1.129,0.678,0.655,9.1,12,0,0,0,1,12
5.0,401.87,31.691,39.0,32.75,28,31,14,51,48.898,48,53.641,21,8.372,43.8,41.7,1.019,1.118,0.682,0.66,2.1,12,0,0,1,0,15
5.1,513.57,42.685,47.5,46.171,35,39,17,73,68.512,69,78.106,27,7.443,39.1,49.3,0.993,1.132,0.669,0.619,8.7,17,0,0,2,0,13
4.301,465.59,40.53,52.5,42.517,35,40,24,67,61.891,62,69.106,29,7.51,46.8,43.5,0.998,1.115,0.686,0.654,4.8,23,0,0,0,0,22
5.0,384.42,31.391,45.5,31.955,29,33,24,49,45.691,45,50.113,22,8.543,48.9,35.6,1.015,1.114,0.71,0.698,8.9,23,0,0,0,0,21
5.6,304.16,19.911,28.0,20.87,18,20,16,30,28.396,28,31.207,13,10.863,46.4,35.7,1.014,1.115,0.745,0.711,10.7,16,0,1,0,0,12
5.0,382.28,27.879,34.5,28.983,25,27,13,44,42.996,42,47.705,16,9.102,38.1,40.5,1.024,1.136,0.69,0.664,11.9,11,0,0,2,0,11
5.444,641.67,50.216,61.5,53.387,43,48,22,82,77.578,77,86.282,32,8.333,41.6,44.2,1.008,1.121,0.693,0.652,5.2,17,0,0,2,0,20
5.1,270.73,21.219,29.0,22.131,19,21,14,32,30.273,30,33.226,15,9.024,50.0,36.7,1.009,1.108,0.738,0.707,6.7,12,0,0,1,0,15
5.0,532.64,43.494,56.0,44.722,39,43,24,72,69.029,68,77.522,27,7.833,39.7,42.6,1.015,1.14,0.658,0.64,11.8,22,0,0,0,0,20
5.1,282.67,19.505,27.5,19.216,19,21,12,29,28.556,27,30.569,12,10.469,44.4,29.6,1.058,1.132,0.712,0.722,7.4,11,0,0,1,0,10
6.0,478.48,34.695,47.5,34.597,33,36,22,53,52.407,50,56.72,22,9.57,44.0,34.0,1.048,1.134,0.692,0.694,4.0,21,0,0,0,0,18
6.553,470.51,36.827,47.0,37.097,34,37,19,60,58.712,57,65.113,22,8.255,38.6,40.4,1.03,1.142,0.651,0.646,10.5,18,0,0,0,0,16
5.0,437.58,34.981,47.0,36.688,31,34,24,57,54.512,54,61.149,21,8.103,38.9,42.6,1.009,1.132,0.679,0.648,13.0,22,0,0,0,0,17
5.1,417.44,30.518,43.5,30.716,29,32,22,46,44.76,43,48.759,20,9.708,46.5,32.6,1.041,1.134,0.714,0.71,7.0,21,0,0,0,0,18
5.0,469.59,40.046,51.5,41.767,35,38,25,65,62.211,62,69.687,27,7.574,43.5,43.5,1.003,1.124,0.674,0.646,8.1,23,0,0,0,0,22
5.1,457.63,40.385,49.0,42.836,34,37,19,68,64.65,65,73.308,27,7.04,41.5,47.7,0.995,1.128,0.659,0.621,7.7,16,0,0,0,1,15
5.1,472.6,40.068,51.0,41.773,35,38,20,66,63.312,63,71.185,26,7.502,41.3,44.4,1.005,1.13,0.663,0.636,9.5,16,0,0,0,1,16
5.05,450.56,37.935,47.5,39.461,33,37,21,64,60.505,60,67.944,25,7.509,41.7,45.0,1.008,1.132,0.658,0.632,6.7,21,0,0,0,0,16
5.6,280.33,23.103,32.0,23.767,21,23,18,36,34.338,34,38.409,16,8.245,47.1,38.2,1.01,1.13,0.699,0.679,11.8,18,0,0,0,0,16
6.143,425.55,35.562,43.5,37.017,31,34,16,61,58.531,58,66.268,21,7.337,36.2,46.6,1.009,1.143,0.638,0.613,12.1,15,0,0,0,2,8
5.2,437.23,24.293,36.5,25.972,23,26,21,34,32.084,31,34.009,15,14.104,48.4,25.8,1.035,1.097,0.838,0.784,9.7,21,0,0,0,0,15
5.3,230.32,17.853,25.5,18.955,16,18,15,28,26.134,26,29.159,11,8.858,42.3,38.5,1.005,1.121,0.729,0.687,15.4,15,0,0,0,0,9
5.1,369.46,31.509,43.5,32.813,28,31,24,50,47.022,47,52.607,22,7.861,46.8,40.4,1.0,1.119,0.698,0.67,10.6,23,0,0,0,0,21
5.2,438.54,36.574,51.5,37.83,33,37,28,59,55.327,55,62.102,24,7.973,43.6,40.0,1.006,1.129,0.688,0.665,14.5,27,0,0,0,0,22
6.4,293.3,23.316,36.0,23.426,22,25,19,36,33.822,33,36.784,16,8.888,48.5,33.3,1.025,1.115,0.71,0.707,9.1,16,0,0,0,0,15
7.357,614.29,50.264,57.0,53.853,42,46,20,86,82.116,82,93.039,30,7.491,36.6,48.8,1.001,1.135,0.657,0.613,8.5,18,0,0,1,0,16
5.0,521.74,45.723,50.0,48.586,38,42,14,81,76.832,77,87.76,28,6.776,36.4,50.6,0.998,1.14,0.631,0.594,9.1,12,0,0,0,0,12
5.1,477.5,35.002,47.5,35.148,33,36,22,54,53.182,51,58.008,22,9.363,43.1,35.3,1.043,1.137,0.689,0.686,5.9,21,0,0,0,0,18
5.3,415.54,35.805,46.0,37.551,31,34,19,59,56.0,56,63.062,24,7.42,42.9,44.6,1.0,1.126,0.671,0.639,8.9,16,0,0,0,1,15
5.0,513.71,39.936,52.0,42.313,35,40,22,67,62.683,62,70.108,23,8.286,37.1,43.5,1.011,1.131,0.682,0.644,11.3,20,0,0,0,0,13
5.824,392.48,32.441,43.0,33.517,29,33,18,54,50.52,50,56.861,21,7.85,42.0,42.0,1.01,1.137,0.67,0.649,12.0,16,0,0,0,0,16
5.1,354.51,31.111,36.0,33.103,26,28,16,54,51.774,52,59.351,19,6.817,36.5,50.0,0.996,1.141,0.637,0.598,11.5,16,0,0,0,0,11
5.0,334.41,28.203,37.5,29.262,25,28,18,46,43.247,43,48.318,19,7.777,44.2,41.9,1.006,1.124,0.681,0.656,9.3,17,0,0,0,0,15
5.1,288.33,23.908,36.0,24.523,22,25,19,37,34.269,34,37.863,17,8.48,50.0,35.3,1.008,1.114,0.721,0.703,11.8,16,0,0,0,0,17
6.502,398.53,34.22,39.5,36.006,29,31,14,58,56.178,56,63.734,22,7.117,39.3,48.2,1.003,1.138,0.643,0.611,7.1,11,0,0,0,0,14
5.1,275.34,23.214,35.0,24.074,21,24,21,37,34.043,34,38.152,16,8.098,47.1,38.2,1.001,1.122,0.708,0.683,14.7,20,0,0,0,0,16
5.05,393.48,33.191,41.5,34.449,29,31,18,54,52.451,52,58.485,22,7.567,42.3,44.2,1.009,1.125,0.662,0.638,5.8,17,0,0,0,2,14
5.05,581.11,44.664,60.0,46.421,40,44,30,70,67.232,66,74.017,29,8.805,43.9,39.4,1.019,1.121,0.703,0.677,6.1,28,0,0,1,0,24
5.0,518.46,37.357,54.5,36.205,37,41,27,57,56.083,53,61.559,24,9.782,45.3,30.2,1.058,1.161,0.683,0.705,11.3,27,0,0,0,0,21
5.1,333.33,25.832,39.5,25.676,25,27,20,38,37.142,36,40.365,17,9.259,47.2,30.6,1.032,1.121,0.713,0.718,13.9,17,0,0,0,1,16
5.854,464.66,38.341,46.5,40.762,33,37,18,65,61.054,61,69.268,23,7.617,37.7,45.9,1.001,1.136,0.668,0.629,13.1,17,0,0,0,0,14
5.0,373.5,32.563,41.0,34.336,28,31,19,54,50.789,51,57.438,22,7.324,43.1,45.1,0.996,1.126,0.673,0.638,9.8,18,0,0,0,0,17
5.05,348.39,28.391,40.5,28.955,26,30,21,46,42.691,42,47.113,19,8.295,45.2,38.1,1.016,1.122,0.689,0.676,9.5,21,0,0,0,0,15
5.0,529.63,42.578,51.0,43.66,38,41,19,71,69.392,68,78.324,26,7.789,38.2,44.1,1.02,1.152,0.642,0.626,10.3,18,0,0,0,0,17
5.0,560.74,46.023,58.5,48.398,40,45,26,77,72.483,72,81.145,29,7.788,40.3,44.4,1.007,1.127,0.672,0.639,8.3,25,0,0,0,0,19
5.4,262.34,22.72,31.0,23.83,20,22,18,36,33.825,34,38.069,16,7.716,47.1,41.2,0.995,1.12,0.701,0.668,11.8,18,0,0,0,0,16
5.1,271.13,16.653,25.0,17.352,16,18,12,22,21.022,20,21.844,10,13.557,50.0,20.0,1.051,1.092,0.868,0.833,10.0,10,0,0,2,0,10
7.1,425.56,34.498,51.0,36.256,31,36,30,55,50.091,50,55.899,23,8.511,46.0,38.0,1.002,1.118,0.725,0.69,14.0,30,0,0,0,0,21
7.3,439.59,36.024,52.0,38.017,32,37,30,58,52.974,53,59.315,24,8.294,45.3,39.6,1.0,1.119,0.717,0.68,13.2,30,0,0,0,0,21
5.0,450.38,34.128,41.5,35.75,30,33,17,55,52.832,52,59.081,21,8.661,40.4,42.3,1.016,1.136,0.688,0.656,9.6,17,0,0,2,0,14
5.0,467.97,37.015,47.5,38.347,33,35,20,58,56.836,56,63.346,24,8.357,42.9,41.1,1.015,1.131,0.685,0.661,8.9,17,0,0,1,1,18
5.0,366.83,28.504,40.5,29.358,26,29,22,44,41.687,41,45.847,19,8.947,46.3,36.6,1.017,1.118,0.716,0.695,9.8,21,0,0,1,0,17
5.745,220.24,18.338,29.0,18.75,17,20,17,28,25.182,25,27.452,14,8.81,56.0,32.0,1.007,1.098,0.75,0.734,8.0,16,0,0,0,0,14
5.319,468.6,40.552,53.0,42.523,35,40,23,68,62.992,63,70.604,28,7.438,44.4,44.4,1.0,1.121,0.675,0.644,6.3,20,0,0,0,0,20
5.1,446.95,35.236,42.5,36.557,31,34,17,58,55.945,55,62.472,22,8.126,40.0,43.6,1.017,1.136,0.665,0.641,7.3,17,0,0,1,0,14
5.05,493.67,43.186,54.0,45.631,37,41,25,72,67.643,68,76.68,29,7.26,42.6,45.6,0.995,1.128,0.671,0.635,10.3,24,0,0,0,0,22
5.1,353.44,29.42,37.5,30.512,26,29,17,49,46.418,46,52.362,19,7.683,41.3,43.5,1.009,1.138,0.663,0.64,10.9,17,0,0,0,0,13
