pXC50,nBM,nAB,nBT,Si,nAT,SCBO,nBO,MW,Sv,Sp,Se,nC,RBF,nSK,nN,nH,nCsp2,nDB,C.,X.,O.,nF,N.,nO
5.0,27,27,76,80.066,71,58.5,45,558.74,45.977,48.427,71.341,30,0.118,40,6,31,21,0,42.3,1.4,2.8,1,8.5,2
5.678,27,27,76,80.066,71,58.5,45,558.74,45.977,48.427,71.341,30,0.118,40,6,31,21,0,42.3,1.4,2.8,1,8.5,2
6.444,27,27,76,80.066,71,58.5,45,558.74,45.977,48.427,71.341,30,0.118,40,6,31,21,0,42.3,1.4,2.8,1,8.5,2
6.638,27,27,77,80.936,72,58.5,45,556.75,46.308,48.944,72.156,30,0.117,40,6,32,21,0,41.7,0.0,4.2,0,8.3,3
6.268,27,27,75,78.437,70,57.5,44,541.73,45.287,47.938,70.054,30,0.12,39,5,31,21,0,42.9,0.0,4.3,0,7.1,3
6.854,27,27,70,72.524,65,55.5,42,512.68,42.739,45.171,65.069,29,0.129,37,4,28,21,0,44.6,0.0,4.6,0,6.2,3
6.456,27,27,79,83.141,74,58.5,45,554.78,47.12,50.25,73.712,31,0.114,40,6,34,21,0,41.9,0.0,2.7,0,8.1,2
7.42,27,27,79,83.141,74,58.5,45,554.78,47.12,50.25,73.712,31,0.114,40,6,34,21,0,41.9,0.0,2.7,0,8.1,2
7.268,27,27,76,79.726,71,57.5,44,540.75,45.593,48.489,70.829,30,0.118,39,6,32,21,0,42.3,0.0,2.8,0,8.5,2
7.167,27,27,79,83.141,74,58.5,45,554.78,47.12,50.25,73.712,31,0.114,40,6,34,21,0,41.9,0.0,2.7,0,8.1,2
5.0,27,27,76,79.67,71,58.5,45,575.19,46.421,49.347,71.152,30,0.118,40,6,31,21,0,42.3,1.4,2.8,0,8.5,2
5.402,19,16,49,51.086,46,43.0,32,504.3,32.148,34.034,46.978,21,0.102,29,2,17,18,3,45.7,2.2,10.9,0,4.3,5
6.459,17,17,55,59.081,52,41.5,33,450.38,34.128,35.75,52.832,21,0.091,30,5,22,14,0,40.4,5.8,1.9,1,9.6,1
6.523,27,27,75,78.777,70,58.5,45,559.72,45.67,47.875,70.567,30,0.12,40,5,30,21,0,42.9,1.4,4.3,1,7.1,3
5.276,27,27,77,80.936,72,58.5,45,556.75,46.308,48.944,72.156,30,0.117,40,6,32,21,0,41.7,0.0,4.2,0,8.3,3
6.292,27,27,76,79.67,71,58.5,45,575.19,46.421,49.347,71.152,30,0.118,40,6,31,21,0,42.3,1.4,2.8,0,8.5,2
5.0,27,27,76,80.066,71,58.5,45,558.74,45.977,48.427,71.341,30,0.118,40,6,31,21,0,42.3,1.4,2.8,1,8.5,2
5.626,19,16,49,51.207,46,43.0,32,457.3,31.856,32.727,47.138,21,0.102,29,2,17,18,3,45.7,2.2,10.9,0,4.3,5
5.805,19,16,49,51.705,46,43.0,32,396.4,31.215,31.313,47.422,21,0.102,29,2,17,18,3,45.7,2.2,10.9,1,4.3,5
5.0,27,27,77,80.936,72,58.5,45,556.75,46.308,48.944,72.156,30,0.117,40,6,32,21,0,41.7,0.0,4.2,0,8.3,3
5.269,20,17,58,63.346,56,47.5,35,467.97,37.015,38.347,56.836,24,0.138,33,5,23,18,2,42.9,3.6,3.6,1,8.9,2
5.0,22,21,44,45.847,41,40.5,29,366.83,28.504,29.358,41.687,19,0.068,26,4,15,17,1,46.3,2.4,4.9,0,9.8,2
6.585,14,12,31,30.921,28,33.0,25,302.2,21.299,19.92,30.269,14,0.0,22,0,6,14,2,50.0,0.0,28.6,0,0.0,8
6.222,22,22,58,60.564,54,45.0,34,400.52,34.783,36.546,53.898,24,0.086,30,4,24,18,0,44.4,0.0,3.7,0,7.4,2
4.955,22,22,54,55.781,50,44.0,33,449.38,33.567,35.682,49.916,23,0.074,29,4,21,18,0,46.0,2.0,2.0,0,8.0,1
6.169,23,22,52,54.943,49,44.0,32,388.46,32.444,33.478,49.458,22,0.096,29,4,20,19,1,44.9,0.0,6.1,0,8.2,3
6.252,22,22,55,57.149,51,44.0,33,386.49,33.256,34.784,51.014,23,0.073,29,4,22,18,0,45.1,0.0,3.9,0,7.8,2
6.215,22,22,61,63.979,57,46.0,35,414.55,36.31,38.307,56.781,25,0.082,31,4,26,18,0,43.9,0.0,3.5,0,7.0,2
6.237,23,22,58,60.647,54,47.0,35,413.52,35.278,36.79,54.116,24,0.086,31,5,23,19,1,44.4,0.0,3.7,0,9.3,2
6.886,22,22,59,61.853,55,45.0,34,399.54,35.09,37.097,54.672,24,0.085,30,5,25,18,0,43.6,0.0,1.8,0,9.1,1
4.631,22,22,54,55.883,50,44.0,33,404.93,33.369,35.188,50.011,23,0.074,29,4,21,18,0,46.0,2.0,2.0,0,8.0,1
5.991,22,22,71,74.308,66,51.0,40,469.64,41.385,43.836,65.65,28,0.085,35,5,31,18,0,42.4,0.0,3.0,0,7.6,2
6.367,23,22,52,54.943,49,44.0,32,388.46,32.444,33.478,49.458,22,0.096,29,4,20,19,1,44.9,0.0,6.1,0,8.2,3
5.31,22,22,54,55.939,50,43.0,32,370.49,32.542,34.33,49.687,23,0.074,28,4,22,18,0,46.0,0.0,2.0,0,8.0,1
6.301,23,22,55,57.023,51,47.0,34,395.5,34.036,35.574,50.905,24,0.073,30,5,21,18,0,47.1,0.0,2.0,0,9.8,1
6.046,22,22,54,57.438,51,42.0,31,373.5,32.563,34.336,50.789,22,0.074,28,5,23,18,0,43.1,0.0,2.0,0,9.8,1
7.234,22,22,55,57.149,51,44.0,33,386.49,33.256,34.784,51.014,23,0.073,29,4,22,18,0,45.1,0.0,3.9,0,7.8,2
5.646,22,22,61,63.979,57,46.0,35,414.55,36.31,38.307,56.781,25,0.098,31,4,26,18,0,43.9,0.0,3.5,0,7.0,2
5.469,22,22,54,55.939,50,43.0,32,370.49,32.542,34.33,49.687,23,0.074,28,4,22,18,0,46.0,0.0,2.0,0,8.0,1
5.914,22,22,56,59.564,53,43.0,32,388.51,33.783,35.546,52.898,23,0.089,29,4,24,18,0,43.4,0.0,3.8,0,7.5,2
6.824,22,22,56,58.358,52,45.0,34,402.49,33.971,35.239,52.342,23,0.071,30,4,22,18,0,44.2,0.0,5.8,0,7.7,3
5.742,22,22,57,59.355,53,44.0,33,384.52,34.068,36.091,52.571,24,0.07,29,4,24,18,0,45.3,0.0,1.9,0,7.5,1
6.609,22,22,53,56.149,50,42.0,31,374.48,32.256,33.784,50.014,22,0.094,28,4,22,18,0,44.0,0.0,4.0,0,8.0,2
6.79,22,22,53,56.149,50,42.0,31,374.48,32.256,33.784,50.014,22,0.094,28,4,22,18,0,44.0,0.0,4.0,0,8.0,2
6.622,23,22,50,52.607,47,44.0,31,369.46,31.509,32.813,47.022,22,0.08,28,5,19,18,0,46.8,0.0,2.1,0,10.6,1
6.013,23,22,50,52.607,47,44.0,31,369.46,31.509,32.813,47.022,22,0.08,28,5,19,18,0,46.8,0.0,2.1,0,10.6,1
5.0,23,23,43,44.428,40,39.5,28,346.84,28.074,29.449,40.033,20,0.093,25,4,15,19,0,50.0,2.5,0.0,0,10.0,0
5.229,19,18,70,75.003,67,47.0,37,477.09,41.729,44.961,66.32,29,0.1,34,2,33,19,1,43.3,1.5,3.0,0,3.0,2
5.0,23,20,68,70.604,63,53.0,40,468.6,40.552,42.523,62.992,28,0.029,35,4,28,20,3,44.4,0.0,4.8,0,6.3,3
5.0,17,17,58,62.472,55,42.5,34,446.95,35.236,36.557,55.945,22,0.138,31,4,24,14,0,40.0,3.6,5.5,1,7.3,3
5.0,25,24,72,76.68,68,54.0,41,493.67,43.186,45.631,67.643,29,0.097,37,7,31,22,1,42.6,0.0,1.5,0,10.3,1
4.854,5,0,45,48.195,43,28.0,23,286.4,25.939,27.739,42.702,18,0.044,21,0,22,8,5,41.9,0.0,7.0,0,0.0,3
4.745,10,6,30,32.119,29,25.0,18,228.26,19.305,19.932,29.284,14,0.1,17,0,12,12,4,48.3,0.0,10.3,0,0.0,3
